visit_id,user_id,restaurant_id,rating_given,visit_date
1,77914,296,2.7,2024-02-16
2,17512,862,2.2,2024-05-12
3,52315,318,2.2,2025-07-11
4,17875,513,2.3,2021-11-04
5,27915,398,4.3,2025-06-16
6,5649,35,2.4,2021-08-07
7,70514,170,2.4,2022-04-03
8,76885,986,2.9,2021-01-05
9,5713,619,1.8,2024-09-06
10,28539,114,4.8,2024-10-06
11,56490,273,4.6,2023-04-17
12,13804,619,1.2,2020-09-16
13,23202,277,2.7,2024-07-27
14,87670,947,1.9,2022-12-03
15,8711,225,1.6,2022-12-12
16,26058,70,3.5,2023-07-20
17,1542,76,4.6,2022-06-18
18,83165,724,4.8,2022-08-22
19,15151,234,3.2,2024-01-31
20,77561,947,1.6,2024-08-19
21,98137,197,1.7,2023-12-16
22,42573,843,3.4,2021-01-25
23,45230,177,1.3,2023-06-30
24,15004,61,2.9,2024-04-24
25,65493,520,2.7,2025-03-29
26,7058,299,2.8,2023-11-15
27,4771,719,4.3,2021-04-22
28,90609,568,1.3,2024-11-03
29,42348,848,4.8,2024-02-08
30,52272,274,2.8,2021-09-24
31,33346,898,4.0,2023-03-19
32,44215,44,1.5,2022-12-25
33,29513,354,1.1,2023-10-01
34,43213,302,2.4,2021-03-18
35,26766,163,4.4,2024-12-05
36,35643,326,1.0,2025-06-20
37,89252,604,2.7,2024-07-23
38,32331,178,1.8,2021-12-10
39,6781,40,2.2,2025-03-19
40,50750,629,4.0,2024-11-24
41,21765,586,4.0,2024-12-30
42,43518,333,1.2,2023-08-31
43,32563,534,1.2,2024-04-18
44,36566,728,3.3,2021-09-03
45,59049,666,1.5,2020-09-15
46,71977,868,2.1,2025-01-07
47,7430,379,3.5,2023-07-04
48,39130,648,3.1,2022-10-27
49,21527,157,4.5,2024-05-18
50,57696,352,2.6,2020-10-13
51,68534,334,2.4,2021-08-31
52,26712,610,4.3,2021-03-05
53,52706,274,2.1,2021-10-06
54,86156,839,4.0,2024-01-05
55,12468,978,1.3,2020-09-02
56,41375,486,1.1,2022-01-04
57,88841,10,1.1,2023-07-21
58,23348,510,3.5,2022-10-24
59,87163,785,3.2,2020-11-05
60,8260,629,2.3,2023-02-07
61,2915,691,3.5,2023-03-17
62,33441,443,2.6,2021-09-24
63,23491,962,4.4,2021-02-25
64,16740,880,4.0,2023-10-08
65,4340,606,3.5,2020-09-06
66,30795,755,3.9,2024-04-29
67,21991,596,1.7,2020-11-26
68,92297,547,1.3,2025-03-26
69,88019,516,1.3,2022-02-13
70,69800,842,4.5,2023-02-21
71,59129,793,2.7,2022-06-02
72,40177,861,4.9,2024-07-13
73,39053,530,4.7,2022-02-27
74,61222,385,3.4,2023-02-10
75,45807,9,2.7,2023-08-12
76,75128,866,2.4,2023-03-28
77,58822,341,2.0,2022-03-12
78,27011,430,1.1,2022-04-02
79,15882,977,1.1,2022-01-08
80,65478,566,1.9,2024-09-07
81,54451,798,1.6,2021-10-10
82,99719,242,4.3,2021-08-05
83,78975,51,2.4,2021-08-07
84,55174,238,4.2,2021-10-13
85,41243,581,1.4,2024-07-22
86,57436,411,3.4,2020-12-16
87,29171,815,3.2,2023-05-29
88,7322,43,1.2,2022-01-15
89,70801,10,4.8,2025-02-08
90,49848,132,5.0,2025-05-09
91,92991,662,4.5,2023-06-25
92,97415,280,1.3,2020-08-22
93,46502,403,3.2,2021-05-29
94,52136,1000,3.2,2024-04-21
95,51541,402,4.1,2023-06-24
96,51894,239,2.9,2024-08-17
97,91369,459,4.2,2024-01-05
98,28470,752,3.2,2021-03-28
99,1130,359,4.6,2024-05-17
100,29862,535,2.2,2023-01-23
101,30966,282,4.0,2021-08-17
102,71695,932,3.7,2022-06-05
103,41826,676,1.7,2024-02-27
104,25171,895,3.0,2022-10-31
105,63430,827,1.3,2022-03-14
106,1938,290,3.1,2023-10-25
107,22656,256,1.2,2020-08-19
108,16655,49,1.1,2021-02-09
109,23064,418,3.4,2023-11-25
110,23385,873,1.6,2023-06-26
111,63421,623,1.5,2020-12-04
112,45517,571,3.2,2024-01-27
113,56114,531,1.3,2022-06-09
114,76154,707,3.1,2021-09-29
115,34542,397,3.8,2024-10-26
116,52562,307,3.6,2022-08-05
117,83944,740,3.5,2024-06-25
118,97506,869,1.4,2024-07-24
119,96753,26,2.2,2025-05-19
120,4147,950,4.4,2024-01-09
121,37333,964,2.3,2023-01-30
122,70285,950,4.3,2023-12-08
123,46220,48,1.6,2021-09-26
124,76179,450,4.7,2021-04-08
125,94676,619,1.1,2022-09-22
126,33605,436,3.8,2020-09-13
127,81869,601,4.6,2021-06-22
128,81562,129,1.8,2024-01-02
129,54416,907,2.8,2023-03-27
130,46342,752,1.3,2022-08-10
131,68510,558,3.6,2022-04-21
132,94018,566,2.6,2024-07-11
133,15523,536,2.7,2024-02-16
134,51920,6,2.7,2024-08-15
135,33280,908,3.2,2021-01-12
136,61119,33,4.2,2020-11-23
